Adm_No,Name,Class,Gender,Subject,Marks,Percentage,Term
1,Student_1,I,Male,Maths,42.7,53.1,Mid
2,Student_2,II,Female,Maths,57.6,61.3,Final
3,Student_3,III,Female,Maths,84.8,89.6,Mid
4,Student_4,I,Other,Maths,44.4,41.6,Final
5,Student_5,II,Female,Maths,8.9,25.4,Mid
6,Student_6,III,Male,Maths,51.5,63.5,Final
7,Student_7,I,Female,Maths,41.9,39.1,Mid
8,Student_8,II,Female,Maths,56.7,69.6,Final
9,Student_9,III,Other,Maths,54.1,55.2,Mid
10,Student_10,I,Female,Maths,71.9,69.6,Final
11,Student_11,II,Female,Maths,75.4,77.5,Mid
12,Student_12,III,Other,Maths,62.0,65.0,Final
13,Student_13,I,Female,Maths,75.1,73.6,Mid
14,Student_14,II,Other,Maths,33.6,42.5,Final
15,Student_15,III,Other,Maths,88.1,69.3,Mid
16,Student_16,I,Other,Maths,66.4,73.7,Final
17,Student_17,II,Other,Maths,63.1,53.5,Mid
18,Student_18,III,Female,Maths,57.2,49.8,Final
19,Student_19,I,Male,Maths,38.7,59.2,Mid
20,Student_20,II,Female,Maths,49.9,61.9,Final
21,Student_21,III,Male,Maths,84.9,81.3,Mid
22,Student_22,I,Female,Maths,76.7,55.0,Final
23,Student_23,II,Other,Maths,41.3,33.5,Mid
24,Student_24,III,Female,Maths,100.0,94.6,Final
25,Student_25,I,Male,Maths,38.9,41.4,Mid
26,Student_26,II,Male,Maths,100.0,92.5,Final
27,Student_27,III,Other,Maths,94.6,82.5,Mid
28,Student_28,I,Other,Maths,42.9,75.4,Final
29,Student_29,II,Female,Maths,40.5,45.1,Mid
30,Student_30,III,Other,Maths,76.1,82.6,Final
31,Student_31,I,Other,Maths,79.6,90.4,Mid
32,Student_32,II,Female,Maths,79.3,77.1,Final
33,Student_33,III,Male,Maths,94.5,78.8,Mid
34,Student_34,I,Other,Maths,60.5,62.2,Final
35,Student_35,II,Female,Maths,39.8,46.9,Mid
36,Student_36,III,Other,Maths,93.1,90.4,Final
37,Student_37,I,Other,Maths,45.9,42.0,Mid
38,Student_38,II,Female,Maths,82.4,79.0,Final
39,Student_39,III,Female,Maths,53.5,66.5,Mid
40,Student_40,I,Male,Maths,78.1,65.4,Final
41,Student_41,II,Other,Maths,72.8,88.7,Mid
42,Student_42,III,Male,Maths,42.8,53.9,Final
43,Student_43,I,Female,Maths,31.4,23.7,Mid
44,Student_44,II,Female,Maths,76.4,63.6,Final
45,Student_45,III,Male,Maths,37.5,42.3,Mid
46,Student_46,I,Female,Maths,77.3,83.5,Final
47,Student_47,II,Other,Maths,42.4,48.7,Mid
48,Student_48,III,Male,Maths,85.1,96.3,Final
49,Student_49,I,Male,Maths,31.5,37.5,Mid
50,Student_50,II,Male,Maths,86.6,95.9,Final
51,Student_51,III,Male,Maths,66.9,76.2,Mid
52,Student_52,I,Male,Maths,87.1,90.4,Final
53,Student_53,II,Female,Maths,77.9,77.0,Mid
54,Student_54,III,Other,Maths,95.8,88.4,Final
55,Student_55,I,Other,Maths,91.9,92.5,Mid
56,Student_56,II,Other,Maths,39.3,39.5,Final
57,Student_57,III,Other,Maths,83.4,86.2,Mid
58,Student_58,I,Female,Maths,67.8,76.9,Final
59,Student_59,II,Other,Maths,39.8,41.1,Mid
60,Student_60,III,Male,Maths,51.3,46.2,Final
61,Student_61,I,Other,Maths,69.7,65.1,Mid
62,Student_62,II,Male,Maths,78.9,85.8,Final
63,Student_63,III,Other,Maths,76.1,77.4,Mid
64,Student_64,I,Male,Maths,62.7,54.9,Final
65,Student_65,II,Male,Maths,84.1,80.9,Mid
66,Student_66,III,Female,Maths,32.1,39.2,Final
67,Student_67,I,Other,Maths,33.8,46.9,Mid
68,Student_68,II,Male,Maths,57.3,82.4,Final
69,Student_69,III,Male,Maths,54.0,40.8,Mid
70,Student_70,I,Female,Maths,80.1,57.1,Final
71,Student_71,II,Other,Maths,32.0,24.6,Mid
72,Student_72,III,Other,Maths,41.4,50.0,Final
73,Student_73,I,Female,Maths,33.9,37.1,Mid
74,Student_74,II,Female,Maths,53.1,59.5,Final
75,Student_75,III,Female,Maths,48.3,51.5,Mid
76,Student_76,I,Other,Maths,99.6,96.4,Final
77,Student_77,II,Male,Maths,36.6,32.0,Mid
78,Student_78,III,Male,Maths,71.2,80.7,Final
79,Student_79,I,Male,Maths,94.7,91.5,Mid
80,Student_80,II,Male,Maths,5.9,32.7,Final
81,Student_81,III,Female,Maths,74.0,59.6,Mid
82,Student_82,I,Other,Maths,44.8,58.5,Final
83,Student_83,II,Female,Maths,83.6,83.0,Mid
84,Student_84,III,Female,Maths,74.1,69.1,Final
85,Student_85,I,Male,Maths,63.8,61.7,Mid
86,Student_86,II,Female,Maths,49.0,43.9,Final
87,Student_87,III,Male,Maths,74.3,61.3,Mid
88,Student_88,I,Other,Maths,67.7,73.9,Final
89,Student_89,II,Female,Maths,55.6,53.4,Mid
90,Student_90,III,Female,Maths,57.0,63.4,Final
91,Student_91,I,Other,Maths,71.3,59.9,Mid
92,Student_92,II,Male,Maths,80.5,82.0,Final
93,Student_93,III,Female,Maths,40.0,41.3,Mid
94,Student_94,I,Female,Maths,57.3,59.5,Final
95,Student_95,II,Male,Maths,80.2,76.8,Mid
96,Student_96,III,Male,Maths,86.9,87.9,Final
97,Student_97,I,Male,Maths,65.6,66.6,Mid
98,Student_98,II,Male,Maths,42.3,46.2,Final
99,Student_99,III,Other,Maths,37.2,39.9,Mid
100,Student_100,I,Male,Maths,67.8,66.9,Final
101,Student_101,II,Male,Maths,76.8,66.8,Mid
102,Student_102,III,Other,Maths,72.3,68.8,Final
103,Student_103,I,Female,Maths,68.7,73.5,Mid
104,Student_104,II,Other,Maths,77.9,81.9,Final
105,Student_105,III,Other,Maths,100.0,86.4,Mid
106,Student_106,I,Male,Maths,24.0,39.3,Final
107,Student_107,II,Female,Maths,39.3,52.9,Mid
108,Student_108,III,Male,Maths,68.3,75.9,Final
109,Student_109,I,Female,Maths,71.6,65.2,Mid
110,Student_110,II,Other,Maths,73.4,82.4,Final
111,Student_111,III,Other,Maths,58.0,67.3,Mid
112,Student_112,I,Other,Maths,98.5,88.9,Final
113,Student_113,II,Male,Maths,21.1,35.7,Mid
114,Student_114,III,Male,Maths,81.1,74.2,Final
115,Student_115,I,Female,Maths,73.7,61.3,Mid
116,Student_116,II,Male,Maths,44.4,37.1,Final
117,Student_117,III,Female,Maths,57.0,54.8,Mid
118,Student_118,I,Other,Maths,39.2,32.1,Final
119,Student_119,II,Male,Maths,65.9,39.6,Mid
120,Student_120,III,Other,Maths,82.3,81.9,Final
121,Student_121,I,Other,Maths,92.4,92.0,Mid
122,Student_122,II,Other,Maths,100.0,89.4,Final
123,Student_123,III,Male,Maths,92.7,98.4,Mid
124,Student_124,I,Male,Maths,85.3,87.8,Final
125,Student_125,II,Male,Maths,100.0,87.1,Mid
126,Student_126,III,Male,Maths,62.7,53.1,Final
127,Student_127,I,Male,Maths,40.3,52.7,Mid
128,Student_128,II,Female,Maths,83.8,82.6,Final
129,Student_129,III,Male,Maths,72.3,65.0,Mid
130,Student_130,I,Male,Maths,80.4,81.1,Final
131,Student_131,II,Other,Maths,72.7,73.8,Mid
132,Student_132,III,Other,Maths,27.5,40.6,Final
133,Student_133,I,Other,Maths,49.8,43.3,Mid
134,Student_134,II,Male,Maths,99.2,78.3,Final
135,Student_135,III,Female,Maths,77.4,73.4,Mid
136,Student_136,I,Female,Maths,59.8,50.1,Final
137,Student_137,II,Male,Maths,72.8,81.6,Mid
138,Student_138,III,Other,Maths,43.6,54.2,Final
139,Student_139,I,Female,Maths,59.7,67.6,Mid
140,Student_140,II,Other,Maths,88.7,85.7,Final
141,Student_141,III,Male,Maths,53.8,52.6,Mid
142,Student_142,I,Female,Maths,73.5,89.7,Final
143,Student_143,II,Male,Maths,58.5,62.0,Mid
144,Student_144,III,Other,Maths,79.1,78.7,Final
145,Student_145,I,Female,Maths,99.1,95.6,Mid
146,Student_146,II,Male,Maths,90.9,90.2,Final
147,Student_147,III,Male,Maths,93.3,84.5,Mid
148,Student_148,I,Female,Maths,58.1,71.7,Final
149,Student_149,II,Male,Maths,87.0,68.7,Mid
150,Student_150,III,Male,Maths,41.0,61.2,Final
151,Student_151,I,Other,Maths,47.8,36.9,Mid
152,Student_152,II,Other,Maths,52.8,39.3,Final
153,Student_153,III,Female,Maths,12.8,22.6,Mid
154,Student_154,I,Other,Maths,100.0,87.5,Final
155,Student_155,II,Female,Maths,45.4,46.8,Mid
156,Student_156,III,Male,Maths,75.8,77.5,Final
157,Student_157,I,Other,Maths,35.6,26.5,Mid
158,Student_158,II,Male,Maths,39.8,38.4,Final
159,Student_159,III,Other,Maths,53.4,58.1,Mid
160,Student_160,I,Female,Maths,82.7,86.0,Final
161,Student_161,II,Male,Maths,51.0,48.9,Mid
162,Student_162,III,Male,Maths,80.1,86.0,Final
163,Student_163,I,Other,Maths,43.3,37.8,Mid
164,Student_164,II,Other,Maths,67.0,71.9,Final
165,Student_165,III,Female,Maths,39.0,43.4,Mid
166,Student_166,I,Male,Maths,54.1,58.3,Final
167,Student_167,II,Other,Maths,18.0,37.8,Mid
168,Student_168,III,Other,Maths,29.6,32.4,Final
169,Student_169,I,Female,Maths,70.4,66.2,Mid
170,Student_170,II,Female,Maths,95.2,78.4,Final
171,Student_171,III,Other,Maths,54.8,39.6,Mid
