Adm_No,Name,Class,Gender,Subject,Marks,Percentage
1,Student_1,I,Male,Maths,42.7,53.1
2,Student_2,II,Female,Maths,57.6,61.3
3,Student_3,III,Female,Maths,84.8,89.6
4,Student_4,I,Other,Maths,44.4,41.6
5,Student_5,II,Female,Maths,8.9,25.4
6,Student_6,III,Male,Maths,51.5,63.5
7,Student_7,I,Female,Maths,41.9,39.1
8,Student_8,II,Female,Maths,56.7,69.6
9,Student_9,III,Other,Maths,54.1,55.2
10,Student_10,I,Female,Maths,71.9,69.6
11,Student_11,II,Female,Maths,75.4,77.5
12,Student_12,III,Other,Maths,62.0,65.0
13,Student_13,I,Female,Maths,75.1,73.6
14,Student_14,II,Other,Maths,33.6,42.5
15,Student_15,III,Other,Maths,88.1,69.3
16,Student_16,I,Other,Maths,66.4,73.7
17,Student_17,II,Other,Maths,63.1,53.5
18,Student_18,III,Female,Maths,57.2,49.8
19,Student_19,I,Male,Maths,38.7,59.2
20,Student_20,II,Female,Maths,49.9,61.9
21,Student_21,III,Male,Maths,84.9,81.3
22,Student_22,I,Female,Maths,76.7,55.0
23,Student_23,II,Other,Maths,41.3,33.5
24,Student_24,III,Female,Maths,100.0,94.6
25,Student_25,I,Male,Maths,38.9,41.4
26,Student_26,II,Male,Maths,100.0,92.5
27,Student_27,III,Other,Maths,94.6,82.5
28,Student_28,I,Other,Maths,42.9,75.4
29,Student_29,II,Female,Maths,40.5,45.1
30,Student_30,III,Other,Maths,76.1,82.6
31,Student_31,I,Other,Maths,79.6,90.4
32,Student_32,II,Female,Maths,79.3,77.1
33,Student_33,III,Male,Maths,94.5,78.8
34,Student_34,I,Other,Maths,60.5,62.2
35,Student_35,II,Female,Maths,39.8,46.9
36,Student_36,III,Other,Maths,93.1,90.4
37,Student_37,I,Other,Maths,45.9,42.0
38,Student_38,II,Female,Maths,82.4,79.0
39,Student_39,III,Female,Maths,53.5,66.5
40,Student_40,I,Male,Maths,78.1,65.4
41,Student_41,II,Other,Maths,72.8,88.7
42,Student_42,III,Male,Maths,42.8,53.9
43,Student_43,I,Female,Maths,31.4,23.7
44,Student_44,II,Female,Maths,76.4,63.6
45,Student_45,III,Male,Maths,37.5,42.3
46,Student_46,I,Female,Maths,77.3,83.5
47,Student_47,II,Other,Maths,42.4,48.7
48,Student_48,III,Male,Maths,85.1,96.3
49,Student_49,I,Male,Maths,31.5,37.5
50,Student_50,II,Male,Maths,86.6,95.9
51,Student_51,III,Male,Maths,66.9,76.2
52,Student_52,I,Male,Maths,87.1,90.4
53,Student_53,II,Female,Maths,77.9,77.0
54,Student_54,III,Other,Maths,95.8,88.4
55,Student_55,I,Other,Maths,91.9,92.5
56,Student_56,II,Other,Maths,39.3,39.5
57,Student_57,III,Other,Maths,83.4,86.2
58,Student_58,I,Female,Maths,67.8,76.9
59,Student_59,II,Other,Maths,39.8,41.1
60,Student_60,III,Male,Maths,51.3,46.2
61,Student_61,I,Other,Maths,69.7,65.1
62,Student_62,II,Male,Maths,78.9,85.8
63,Student_63,III,Other,Maths,76.1,77.4
64,Student_64,I,Male,Maths,62.7,54.9
65,Student_65,II,Male,Maths,84.1,80.9
66,Student_66,III,Female,Maths,32.1,39.2
67,Student_67,I,Other,Maths,33.8,46.9
68,Student_68,II,Male,Maths,57.3,82.4
69,Student_69,III,Male,Maths,54.0,40.8
70,Student_70,I,Female,Maths,80.1,57.1
71,Student_71,II,Other,Maths,32.0,24.6
72,Student_72,III,Other,Maths,41.4,50.0
73,Student_73,I,Female,Maths,33.9,37.1
74,Student_74,II,Female,Maths,53.1,59.5
75,Student_75,III,Female,Maths,48.3,51.5
76,Student_76,I,Other,Maths,99.6,96.4
77,Student_77,II,Male,Maths,36.6,32.0
78,Student_78,III,Male,Maths,71.2,80.7
79,Student_79,I,Male,Maths,94.7,91.5
80,Student_80,II,Male,Maths,5.9,32.7
81,Student_81,III,Female,Maths,74.0,59.6
82,Student_82,I,Other,Maths,44.8,58.5
83,Student_83,II,Female,Maths,83.6,83.0
84,Student_84,III,Female,Maths,74.1,69.1
85,Student_85,I,Male,Maths,63.8,61.7
86,Student_86,II,Female,Maths,49.0,43.9
87,Student_87,III,Male,Maths,74.3,61.3
88,Student_88,I,Other,Maths,67.7,73.9
89,Student_89,II,Female,Maths,55.6,53.4
90,Student_90,III,Female,Maths,57.0,63.4
91,Student_91,I,Other,Maths,71.3,59.9
92,Student_92,II,Male,Maths,80.5,82.0
93,Student_93,III,Female,Maths,40.0,41.3
94,Student_94,I,Female,Maths,57.3,59.5
95,Student_95,II,Male,Maths,80.2,76.8
96,Student_96,III,Male,Maths,86.9,87.9
97,Student_97,I,Male,Maths,65.6,66.6
98,Student_98,II,Male,Maths,42.3,46.2
99,Student_99,III,Other,Maths,37.2,39.9
100,Student_100,I,Male,Maths,67.8,66.9
101,Student_101,II,Male,Maths,76.8,66.8
102,Student_102,III,Other,Maths,72.3,68.8
103,Student_103,I,Female,Maths,68.7,73.5
104,Student_104,II,Other,Maths,77.9,81.9
105,Student_105,III,Other,Maths,100.0,86.4
106,Student_106,I,Male,Maths,24.0,39.3
107,Student_107,II,Female,Maths,39.3,52.9
108,Student_108,III,Male,Maths,68.3,75.9
109,Student_109,I,Female,Maths,71.6,65.2
110,Student_110,II,Other,Maths,73.4,82.4
111,Student_111,III,Other,Maths,58.0,67.3
112,Student_112,I,Other,Maths,98.5,88.9
113,Student_113,II,Male,Maths,21.1,35.7
114,Student_114,III,Male,Maths,81.1,74.2
115,Student_115,I,Female,Maths,73.7,61.3
116,Student_116,II,Male,Maths,44.4,37.1
117,Student_117,III,Female,Maths,57.0,54.8
118,Student_118,I,Other,Maths,39.2,32.1
119,Student_119,II,Male,Maths,65.9,39.6
120,Student_120,III,Other,Maths,82.3,81.9
121,Student_121,I,Other,Maths,92.4,92.0
122,Student_122,II,Other,Maths,100.0,89.4
123,Student_123,III,Male,Maths,92.7,98.4
124,Student_124,I,Male,Maths,85.3,87.8
125,Student_125,II,Male,Maths,100.0,87.1
126,Student_126,III,Male,Maths,62.7,53.1
127,Student_127,I,Male,Maths,40.3,52.7
128,Student_128,II,Female,Maths,83.8,82.6
129,Student_129,III,Male,Maths,72.3,65.0
130,Student_130,I,Male,Maths,80.4,81.1
131,Student_131,II,Other,Maths,72.7,73.8
132,Student_132,III,Other,Maths,27.5,40.6
133,Student_133,I,Other,Maths,49.8,43.3
134,Student_134,II,Male,Maths,99.2,78.3
135,Student_135,III,Female,Maths,77.4,73.4
