Adm_No,Name,Gender,Class
1,Student_1,Male,I
2,Student_2,Female,II
3,Student_3,Female,III
4,Student_4,Other,I
5,Student_5,Female,II
6,Student_6,Male,III
7,Student_7,Female,I
8,Student_8,Female,II
9,Student_9,Other,III
10,Student_10,Female,I
11,Student_11,Female,II
12,Student_12,Other,III
13,Student_13,Female,I
14,Student_14,Other,II
15,Student_15,Other,III
16,Student_16,Other,I
17,Student_17,Other,II
18,Student_18,Female,III
19,Student_19,Male,I
20,Student_20,Female,II
21,Student_21,Male,III
22,Student_22,Female,I
23,Student_23,Other,II
24,Student_24,Female,III
25,Student_25,Male,I
26,Student_26,Male,II
27,Student_27,Other,III
28,Student_28,Other,I
29,Student_29,Female,II
30,Student_30,Other,III
31,Student_31,Other,I
32,Student_32,Female,II
33,Student_33,Male,III
34,Student_34,Other,I
35,Student_35,Female,II
36,Student_36,Other,III
37,Student_37,Other,I
38,Student_38,Female,II
39,Student_39,Female,III
40,Student_40,Male,I
41,Student_41,Other,II
42,Student_42,Male,III
43,Student_43,Female,I
44,Student_44,Female,II
45,Student_45,Male,III
46,Student_46,Female,I
47,Student_47,Other,II
48,Student_48,Male,III
49,Student_49,Male,I
50,Student_50,Male,II
51,Student_51,Male,III
52,Student_52,Male,I
53,Student_53,Female,II
54,Student_54,Other,III
55,Student_55,Other,I
56,Student_56,Other,II
57,Student_57,Other,III
58,Student_58,Female,I
59,Student_59,Other,II
60,Student_60,Male,III
61,Student_61,Other,I
62,Student_62,Male,II
63,Student_63,Other,III
64,Student_64,Male,I
65,Student_65,Male,II
66,Student_66,Female,III
67,Student_67,Other,I
68,Student_68,Male,II
69,Student_69,Male,III
70,Student_70,Female,I
71,Student_71,Other,II
72,Student_72,Other,III
73,Student_73,Female,I
74,Student_74,Female,II
75,Student_75,Female,III
76,Student_76,Other,I
77,Student_77,Male,II
78,Student_78,Male,III
79,Student_79,Male,I
80,Student_80,Male,II
81,Student_81,Female,III
82,Student_82,Other,I
83,Student_83,Female,II
84,Student_84,Female,III
85,Student_85,Male,I
86,Student_86,Female,II
87,Student_87,Male,III
88,Student_88,Other,I
89,Student_89,Female,II
90,Student_90,Female,III
91,Student_91,Other,I
92,Student_92,Male,II
93,Student_93,Female,III
94,Student_94,Female,I
95,Student_95,Male,II
96,Student_96,Male,III
97,Student_97,Male,I
98,Student_98,Male,II
99,Student_99,Other,III
100,Student_100,Male,I
101,Student_101,Male,II
102,Student_102,Other,III
103,Student_103,Female,I
104,Student_104,Other,II
105,Student_105,Other,III
106,Student_106,Male,I
107,Student_107,Female,II
108,Student_108,Male,III
109,Student_109,Female,I
110,Student_110,Other,II
111,Student_111,Other,III
112,Student_112,Other,I
113,Student_113,Male,II
114,Student_114,Male,III
115,Student_115,Female,I
116,Student_116,Male,II
117,Student_117,Female,III
118,Student_118,Other,I
119,Student_119,Male,II
120,Student_120,Other,III
121,Student_121,Other,I
122,Student_122,Other,II
123,Student_123,Male,III
124,Student_124,Male,I
125,Student_125,Male,II
126,Student_126,Male,III
127,Student_127,Male,I
128,Student_128,Female,II
129,Student_129,Male,III
130,Student_130,Male,I
131,Student_131,Other,II
132,Student_132,Other,III
133,Student_133,Other,I
134,Student_134,Male,II
135,Student_135,Female,III
136,Student_136,Female,I
137,Student_137,Male,II
138,Student_138,Other,III
139,Student_139,Female,I
140,Student_140,Other,II
141,Student_141,Male,III
142,Student_142,Female,I
143,Student_143,Male,II
144,Student_144,Other,III
145,Student_145,Female,I
146,Student_146,Male,II
147,Student_147,Male,III
148,Student_148,Female,I
149,Student_149,Male,II
150,Student_150,Male,III
151,Student_151,Other,I
152,Student_152,Other,II
153,Student_153,Female,III
154,Student_154,Other,I
155,Student_155,Female,II
156,Student_156,Male,III
157,Student_157,Other,I
158,Student_158,Male,II
159,Student_159,Other,III
160,Student_160,Female,I
161,Student_161,Male,II
162,Student_162,Male,III
163,Student_163,Other,I
164,Student_164,Other,II
165,Student_165,Female,III
166,Student_166,Male,I
167,Student_167,Other,II
168,Student_168,Other,III
169,Student_169,Female,I
170,Student_170,Female,II
171,Student_171,Other,III
172,Student_172,Female,I
173,Student_173,Male,II
174,Student_174,Male,III
175,Student_175,Female,I
176,Student_176,Other,II
177,Student_177,Other,III
178,Student_178,Female,I
179,Student_179,Male,II
180,Student_180,Female,III
181,Student_181,Male,I
182,Student_182,Female,II
183,Student_183,Female,III
184,Student_184,Other,I
185,Student_185,Other,II
186,Student_186,Other,III
187,Student_187,Male,I
188,Student_188,Other,II
189,Student_189,Male,III
190,Student_190,Female,I
191,Student_191,Other,II
192,Student_192,Other,III
193,Student_193,Female,I
194,Student_194,Male,II
195,Student_195,Female,III
196,Student_196,Other,I
197,Student_197,Female,II
198,Student_198,Female,III
199,Student_199,Female,I
200,Student_200,Female,II
201,Student_201,Male,III
202,Student_202,Other,I
203,Student_203,Male,II
204,Student_204,Other,III
205,Student_205,Male,I
206,Student_206,Female,II
207,Student_207,Female,III
208,Student_208,Female,I
209,Student_209,Female,II
210,Student_210,Other,III
211,Student_211,Male,I
212,Student_212,Other,II
213,Student_213,Other,III
214,Student_214,Other,I
215,Student_215,Male,II
216,Student_216,Male,III
217,Student_217,Female,I
218,Student_218,Male,II
219,Student_219,Other,III
220,Student_220,Other,I
221,Student_221,Female,II
222,Student_222,Other,III
223,Student_223,Male,I
224,Student_224,Other,II
225,Student_225,Male,III
226,Student_226,Other,I
227,Student_227,Female,II
228,Student_228,Female,III
229,Student_229,Male,I
230,Student_230,Female,II
231,Student_231,Other,III
232,Student_232,Other,I
233,Student_233,Female,II
234,Student_234,Male,III
235,Student_235,Female,I
236,Student_236,Other,II
237,Student_237,Male,III
238,Student_238,Other,I
239,Student_239,Other,II
240,Student_240,Other,III
241,Student_241,Female,I
242,Student_242,Male,II
243,Student_243,Male,III
244,Student_244,Other,I
245,Student_245,Female,II
246,Student_246,Male,III
247,Student_247,Other,I
248,Student_248,Male,II
249,Student_249,Other,III
250,Student_250,Female,I
251,Student_251,Female,II
252,Student_252,Male,III
253,Student_253,Male,I
254,Student_254,Other,II
255,Student_255,Female,III
256,Student_256,Other,I
257,Student_257,Other,II
258,Student_258,Male,III
259,Student_259,Female,I
260,Student_260,Other,II
261,Student_261,Female,III
262,Student_262,Female,I
263,Student_263,Female,II
264,Student_264,Other,III
265,Student_265,Other,I
266,Student_266,Other,II
267,Student_267,Female,III
268,Student_268,Female,I
269,Student_269,Female,II
270,Student_270,Male,III
271,Student_271,Other,I
272,Student_272,Male,II
273,Student_273,Other,III
274,Student_274,Female,I
275,Student_275,Other,II
276,Student_276,Other,III
277,Student_277,Female,I
278,Student_278,Female,II
279,Student_279,Female,III
280,Student_280,Female,I
281,Student_281,Male,II
282,Student_282,Male,III
283,Student_283,Other,I
284,Student_284,Other,II
285,Student_285,Male,III
286,Student_286,Male,I
287,Student_287,Female,II
288,Student_288,Other,III
289,Student_289,Other,I
290,Student_290,Other,II
291,Student_291,Male,III
292,Student_292,Male,I
293,Student_293,Female,II
294,Student_294,Male,III
295,Student_295,Female,I
296,Student_296,Female,II
297,Student_297,Other,III
298,Student_298,Male,I
299,Student_299,Other,II
300,Student_300,Other,III
301,Student_301,Other,I
302,Student_302,Other,II
303,Student_303,Other,III
304,Student_304,Male,I
305,Student_305,Female,II
306,Student_306,Female,III
307,Student_307,Other,I
308,Student_308,Male,II
309,Student_309,Female,III
310,Student_310,Male,I
311,Student_311,Male,II
312,Student_312,Other,III
313,Student_313,Male,I
314,Student_314,Other,II
315,Student_315,Other,III
316,Student_316,Other,I
317,Student_317,Male,II
318,Student_318,Male,III
319,Student_319,Female,I
320,Student_320,Female,II
321,Student_321,Other,III
322,Student_322,Female,I
323,Student_323,Male,II
324,Student_324,Other,III
325,Student_325,Other,I
326,Student_326,Female,II
327,Student_327,Other,III
328,Student_328,Other,I
329,Student_329,Female,II
330,Student_330,Male,III
331,Student_331,Female,I
332,Student_332,Female,II
333,Student_333,Other,III
334,Student_334,Other,I
335,Student_335,Female,II
336,Student_336,Female,III
337,Student_337,Female,I
338,Student_338,Female,II
339,Student_339,Female,III
340,Student_340,Female,I
341,Student_341,Female,II
342,Student_342,Other,III
343,Student_343,Male,I
344,Student_344,Male,II
345,Student_345,Other,III
346,Student_346,Other,I
347,Student_347,Female,II
348,Student_348,Female,III
349,Student_349,Female,I
350,Student_350,Female,II
351,Student_351,Male,III
352,Student_352,Female,I
353,Student_353,Male,II
354,Student_354,Male,III
355,Student_355,Female,I
356,Student_356,Other,II
357,Student_357,Male,III
358,Student_358,Other,I
359,Student_359,Female,II
360,Student_360,Other,III
361,Student_361,Female,I
362,Student_362,Other,II
363,Student_363,Female,III
364,Student_364,Other,I
365,Student_365,Female,II
366,Student_366,Female,III
367,Student_367,Female,I
368,Student_368,Other,II
369,Student_369,Other,III
370,Student_370,Male,I
371,Student_371,Other,II
372,Student_372,Other,III
373,Student_373,Other,I
374,Student_374,Female,II
375,Student_375,Female,III
376,Student_376,Other,I
377,Student_377,Female,II
378,Student_378,Female,III
379,Student_379,Female,I
380,Student_380,Female,II
381,Student_381,Male,III
382,Student_382,Male,I
383,Student_383,Male,II
384,Student_384,Female,III
385,Student_385,Female,I
386,Student_386,Female,II
387,Student_387,Other,III
388,Student_388,Male,I
389,Student_389,Female,II
390,Student_390,Male,III
391,Student_391,Male,I
392,Student_392,Female,II
393,Student_393,Male,III
394,Student_394,Male,I
395,Student_395,Other,II
396,Student_396,Other,III
397,Student_397,Male,I
398,Student_398,Male,II
399,Student_399,Male,III
400,Student_400,Female,I
401,Student_401,Other,II
402,Student_402,Male,III
403,Student_403,Male,I
404,Student_404,Female,II
405,Student_405,Other,III
406,Student_406,Female,I
407,Student_407,Other,II
408,Student_408,Female,III
409,Student_409,Male,I
410,Student_410,Female,II
411,Student_411,Other,III
412,Student_412,Female,I
413,Student_413,Male,II
414,Student_414,Male,III
