Adm_No,Name,Class,Gender,Subject,Marks,Percentage
3,Student_3,III,Female,Maths,84.8,89.6
11,Student_11,II,Female,Maths,75.4,77.5
21,Student_21,III,Male,Maths,84.9,81.3
24,Student_24,III,Female,Maths,100.0,94.6
26,Student_26,II,Male,Maths,100.0,92.5
27,Student_27,III,Other,Maths,94.6,82.5
28,Student_28,I,Other,Maths,42.9,75.4
30,Student_30,III,Other,Maths,76.1,82.6
31,Student_31,I,Other,Maths,79.6,90.4
32,Student_32,II,Female,Maths,79.3,77.1
33,Student_33,III,Male,Maths,94.5,78.8
36,Student_36,III,Other,Maths,93.1,90.4
38,Student_38,II,Female,Maths,82.4,79.0
41,Student_41,II,Other,Maths,72.8,88.7
46,Student_46,I,Female,Maths,77.3,83.5
48,Student_48,III,Male,Maths,85.1,96.3
50,Student_50,II,Male,Maths,86.6,95.9
51,Student_51,III,Male,Maths,66.9,76.2
52,Student_52,I,Male,Maths,87.1,90.4
53,Student_53,II,Female,Maths,77.9,77.0
54,Student_54,III,Other,Maths,95.8,88.4
55,Student_55,I,Other,Maths,91.9,92.5
57,Student_57,III,Other,Maths,83.4,86.2
58,Student_58,I,Female,Maths,67.8,76.9
62,Student_62,II,Male,Maths,78.9,85.8
63,Student_63,III,Other,Maths,76.1,77.4
65,Student_65,II,Male,Maths,84.1,80.9
68,Student_68,II,Male,Maths,57.3,82.4
76,Student_76,I,Other,Maths,99.6,96.4
78,Student_78,III,Male,Maths,71.2,80.7
79,Student_79,I,Male,Maths,94.7,91.5
83,Student_83,II,Female,Maths,83.6,83.0
92,Student_92,II,Male,Maths,80.5,82.0
95,Student_95,II,Male,Maths,80.2,76.8
96,Student_96,III,Male,Maths,86.9,87.9
104,Student_104,II,Other,Maths,77.9,81.9
105,Student_105,III,Other,Maths,100.0,86.4
108,Student_108,III,Male,Maths,68.3,75.9
110,Student_110,II,Other,Maths,73.4,82.4
112,Student_112,I,Other,Maths,98.5,88.9
120,Student_120,III,Other,Maths,82.3,81.9
121,Student_121,I,Other,Maths,92.4,92.0
122,Student_122,II,Other,Maths,100.0,89.4
123,Student_123,III,Male,Maths,92.7,98.4
124,Student_124,I,Male,Maths,85.3,87.8
125,Student_125,II,Male,Maths,100.0,87.1
128,Student_128,II,Female,Maths,83.8,82.6
130,Student_130,I,Male,Maths,80.4,81.1
134,Student_134,II,Male,Maths,99.2,78.3
137,Student_137,II,Male,Maths,72.8,81.6
140,Student_140,II,Other,Maths,88.7,85.7
142,Student_142,I,Female,Maths,73.5,89.7
144,Student_144,III,Other,Maths,79.1,78.7
145,Student_145,I,Female,Maths,99.1,95.6
146,Student_146,II,Male,Maths,90.9,90.2
147,Student_147,III,Male,Maths,93.3,84.5
154,Student_154,I,Other,Maths,100.0,87.5
156,Student_156,III,Male,Maths,75.8,77.5
160,Student_160,I,Female,Maths,82.7,86.0
162,Student_162,III,Male,Maths,80.1,86.0
170,Student_170,II,Female,Maths,95.2,78.4
172,Student_172,I,Female,Maths,86.9,86.7
173,Student_173,II,Male,Maths,80.7,80.8
177,Student_177,III,Other,Maths,77.3,86.1
184,Student_184,I,Other,Maths,79.1,81.5
190,Student_190,I,Female,Maths,65.5,76.1
191,Student_191,II,Other,Maths,73.9,86.6
193,Student_193,I,Female,Maths,71.1,80.1
194,Student_194,II,Male,Maths,90.4,84.1
196,Student_196,I,Other,Maths,82.8,93.0
198,Student_198,III,Female,Maths,86.3,90.7
201,Student_201,III,Male,Maths,84.0,90.0
203,Student_203,II,Male,Maths,100.0,100.0
206,Student_206,II,Female,Maths,72.1,82.7
207,Student_207,III,Female,Maths,84.1,80.2
210,Student_210,III,Other,Maths,89.1,82.5
211,Student_211,I,Male,Maths,79.9,76.2
215,Student_215,II,Male,Maths,90.9,83.2
217,Student_217,I,Female,Maths,82.4,75.7
222,Student_222,III,Other,Maths,100.0,82.4
223,Student_223,I,Male,Maths,99.0,99.1
225,Student_225,III,Male,Maths,85.5,77.4
226,Student_226,I,Other,Maths,93.0,85.6
228,Student_228,III,Female,Maths,87.3,80.2
231,Student_231,III,Other,Maths,99.2,97.2
235,Student_235,I,Female,Maths,90.5,95.5
237,Student_237,III,Male,Maths,100.0,87.6
238,Student_238,I,Other,Maths,92.3,100.0
244,Student_244,I,Other,Maths,72.7,82.2
245,Student_245,II,Female,Maths,77.5,95.8
251,Student_251,II,Female,Maths,74.3,87.5
256,Student_256,I,Other,Maths,74.0,77.6
257,Student_257,II,Other,Maths,82.6,87.9
260,Student_260,II,Other,Maths,95.2,93.4
261,Student_261,III,Female,Maths,80.5,75.8
263,Student_263,II,Female,Maths,86.2,86.1
265,Student_265,I,Other,Maths,65.3,75.7
272,Student_272,II,Male,Maths,96.9,100.0
281,Student_281,II,Male,Maths,77.3,75.9
283,Student_283,I,Other,Maths,85.8,76.3
293,Student_293,II,Female,Maths,74.9,82.4
295,Student_295,I,Female,Maths,72.7,88.3
299,Student_299,II,Other,Maths,86.0,75.1
301,Student_301,I,Other,Maths,97.5,90.9
307,Student_307,I,Other,Maths,99.7,96.6
308,Student_308,II,Male,Maths,55.3,75.0
312,Student_312,III,Other,Maths,85.3,91.6
314,Student_314,II,Other,Maths,67.0,77.7
316,Student_316,I,Other,Maths,100.0,100.0
319,Student_319,I,Female,Maths,65.5,81.4
322,Student_322,I,Female,Maths,100.0,90.7
330,Student_330,III,Male,Maths,95.9,96.0
334,Student_334,I,Other,Maths,68.4,82.6
336,Student_336,III,Female,Maths,74.4,79.6
337,Student_337,I,Female,Maths,92.7,77.6
338,Student_338,II,Female,Maths,85.0,76.4
339,Student_339,III,Female,Maths,97.2,81.9
341,Student_341,II,Female,Maths,97.1,100.0
345,Student_345,III,Other,Maths,91.5,84.7
347,Student_347,II,Female,Maths,87.8,90.6
348,Student_348,III,Female,Maths,100.0,99.6
355,Student_355,I,Female,Maths,88.3,77.6
360,Student_360,III,Other,Maths,70.7,78.5
364,Student_364,I,Other,Maths,90.7,78.2
